ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10666267,HZ416848,09/01/2016 12:45:00 AM,0000X W ROOSEVELT RD,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,CTA TRAIN,false,false,0123,001,2,32,11,1176387,1895062,2016,09/08/2016 03:48:43 PM,41.867405488,-87.627925177,"(41.867405488, -87.627925177)"
10664900,HZ415635,09/01/2016 12:45:00 AM,001XX W ADAMS ST,0890,THEFT,FROM BUILDING,BAR OR TAVERN,false,false,0122,001,42,32,06,1175421,1899429,2016,09/08/2016 03:48:43 PM,41.879410537,-87.631340358,"(41.879410537, -87.631340358)"
10664875,HZ415630,09/01/2016 12:45:00 AM,086XX S COTTAGE GROVE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,PARKING LOT/GARAGE(NON.RESID.),false,true,0632,006,6,44,08B,1183071,1847869,2016,09/08/2016 03:48:43 PM,41.737750767,-87.604855911,"(41.737750767, -87.604855911)"
10671642,HZ423423,09/01/2016 12:50:00 AM,048XX N CENTRAL AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,false,true,1622,016,45,15,26,1138129,1931547,2016,09/08/2016 03:48:43 PM,41.968301279,-87.767493705,"(41.968301279, -87.767493705)"
10664932,HZ415675,09/01/2016 12:50:00 AM,006XX N LAKE SHORE DR,0890,THEFT,FROM BUILDING,HOTEL/MOTEL,false,false,1834,018,42,8,06,1179792,1904743,2016,09/08/2016 03:48:43 PM,41.893893173,-87.615127644,"(41.893893173, -87.615127644)"
10664930,HZ415646,09/01/2016 12:50:00 AM,005XX S COLUMBUS DR,031A,ROBBERY,ARMED: HANDGUN,PARK PROPERTY,false,false,0114,001,42,32,03,1178360,1898011,2016,09/08/2016 03:48:43 PM,41.875452995,-87.620592186,"(41.875452995, -87.620592186)"
10664907,HZ415628,09/01/2016 12:50:00 AM,078XX S SOUTH SHORE DR,0498,BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY,APARTMENT,true,true,0421,004,7,43,04B,1197940,1853912,2016,09/08/2016 03:48:43 PM,41.753974914,-87.550179329,"(41.753974914, -87.550179329)"
10664902,HZ415618,09/01/2016 12:55:00 AM,008XX N KILDARE AVE,0330,ROBBERY,AGGRAVATED,ALLEY,false,false,1111,011,37,23,03,1147555,1905333,2016,09/08/2016 03:48:43 PM,41.896191646,-87.733508805,"(41.896191646, -87.733508805)"
10664885,HZ415613,09/01/2016 12:55:00 AM,115XX S CHURCH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,true,2212,022,34,75,08B,1165522,1827967,2016,09/08/2016 03:48:43 PM,41.68352609,-87.669712804,"(41.68352609, -87.669712804)"
10666399,HZ417047,09/01/2016 12:57:00 AM,064XX S MARSHFIELD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0725,007,15,67,08B,1166434,1861907,2016,09/08/2016 03:48:43 PM,41.776643254,-87.665410168,"(41.776643254, -87.665410168)"
10666638,HZ415633,09/01/2016 12:58:00 AM,065XX S UNIVERSITY AVE,0650,BURGLARY,HOME INVASION,APARTMENT,false,false,0321,003,20,42,05,1184676,1861913,2016,09/08/2016 03:48:43 PM,41.77625146,-87.598536201,"(41.77625146, -87.598536201)"
10689890,HZ444237,09/01/2016 01:00:00 AM,043XX W MONROE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,1115,011,28,26,14,1147421,1899307,2016,09/26/2016 03:52:09 PM,41.879658199,-87.734155507,"(41.879658199, -87.734155507)"
10666188,HZ416937,09/01/2016 01:00:00 AM,085XX S BURLEY AVE,0560,ASSAULT,SIMPLE,APARTMENT,true,true,0424,004,10,46,08A,1199293,1849019,2016,09/21/2016 03:50:20 PM,41.740514279,-87.54538536,"(41.740514279, -87.54538536)"
10668926,HZ420256,09/01/2016 01:00:00 AM,019XX W 17TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,false,false,1234,012,25,31,14,1163771,1891752,2016,09/08/2016 03:48:43 PM,41.858597683,-87.674333536,"(41.858597683, -87.674333536)"
10666449,HZ417186,09/01/2016 01:00:00 AM,093XX S LYON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0633,006,9,44,14,1182446,1843281,2016,09/08/2016 03:48:43 PM,41.725175257,-87.607287516,"(41.725175257, -87.607287516)"
10666179,HZ416959,09/01/2016 01:00:00 AM,012XX S INDEPENDENCE BLVD,1320,CRIMINAL DAMAGE,TO VEHICLE,VACANT LOT/LAND,false,false,1011,010,24,29,14,1151288,1894094,2016,09/08/2016 03:48:43 PM,41.865278182,-87.720093082,"(41.865278182, -87.720093082)"
10665403,HZ416021,09/01/2016 01:00:00 AM,007XX E 83RD ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0631,006,6,44,14,1182428,1850115,2016,09/08/2016 03:48:43 PM,41.743928954,-87.607142233,"(41.743928954, -87.607142233)"
10664970,HZ415711,09/01/2016 01:00:00 AM,024XX N ASHLAND AVE,0820,THEFT,$500 AND UNDER,SIDEWALK,false,false,1931,019,32,7,06,1165254,1916453,2016,09/08/2016 03:48:43 PM,41.926347711,-87.668187106,"(41.926347711, -87.668187106)"
10664893,HZ415629,09/01/2016 01:00:00 AM,011XX E 73RD ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,0324,003,5,69,08B,1184981,1856838,2016,09/08/2016 03:48:43 PM,41.762318036,-87.597577257,"(41.762318036, -87.597577257)"
10664979,HZ415634,09/01/2016 01:03:00 AM,032XX N SEMINARY AVE,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,1924,019,44,6,03,1168376,1921717,2016,09/08/2016 03:48:43 PM,41.940725353,-87.656562584,"(41.940725353, -87.656562584)"
10664989,HZ415676,09/01/2016 01:05:00 AM,040XX W CHICAGO AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,VEHICLE NON-COMMERCIAL,false,false,1111,011,37,23,15,1149484,1905044,2016,09/08/2016 03:48:43 PM,41.895361374,-87.726431415,"(41.895361374, -87.726431415)"
10664934,HZ415651,09/01/2016 01:06:00 AM,043XX S SACRAMENTO AVE,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,STREET,true,false,0922,009,14,58,18,1157086,1875631,2016,09/08/2016 03:48:43 PM,41.814497931,-87.699308667,"(41.814497931, -87.699308667)"
10667598,HZ415626,09/01/2016 01:07:00 AM,018XX N LEAVITT ST,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,1434,014,32,22,05,1161410,1912018,2016,09/08/2016 03:48:43 PM,41.91425872,-87.682435686,"(41.91425872, -87.682435686)"
10664928,HZ415659,09/01/2016 01:08:00 AM,044XX W WRIGHTWOOD AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,2524,025,31,20,18,1146368,1917029,2016,09/08/2016 03:48:43 PM,41.92830935,-87.73757008,"(41.92830935, -87.73757008)"
10664894,HZ415631,09/01/2016 01:09:00 AM,070XX S GREEN ST,051A,ASSAULT,AGGRAVATED: HANDGUN,RESIDENCE,false,false,0733,007,6,68,04A,1171850,1858182,2016,09/08/2016 03:48:43 PM,41.76630426,-87.645664568,"(41.76630426, -87.645664568)"
10671167,HZ422810,09/01/2016 01:12:00 AM,002XX E ILLINOIS ST,0890,THEFT,FROM BUILDING,CONSTRUCTION SITE,false,false,1834,018,42,8,06,1177997,1903665,2016,09/08/2016 03:48:43 PM,41.890976131,-87.621752835,"(41.890976131, -87.621752835)"
10664914,HZ415644,09/01/2016 01:15:00 AM,069XX S ADA ST,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE,false,false,0734,007,17,67,04A,1168529,1858651,2016,09/08/2016 03:48:43 PM,41.767663471,-87.657823741,"(41.767663471, -87.657823741)"
