tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1278,6/1/2016 00:08:13,6/1/2016 00:29:31,293,Lafayette St & E 8 St,40.73028666,-73.9907647,3222,Hanson Pl & St Felix St,40.685159599891776,-73.97711366415024,20323,Subscriber,1990,1
2159,6/1/2016 00:08:11,6/1/2016 00:44:11,326,E 11 St & 1 Ave,40.72953837,-73.98426726,447,8 Ave & W 52 St,40.76370739,-73.9851615,21097,Subscriber,1967,1
342,6/1/2016 00:08:32,6/1/2016 00:14:14,3255,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,462,W 22 St & 10 Ave,40.74691959,-74.00451887,14978,Subscriber,1980,1
425,6/1/2016 00:08:35,6/1/2016 00:15:40,346,Bank St & Hudson St,40.73652889,-74.00618026,357,E 11 St & Broadway,40.73261787,-73.99158043,23036,Subscriber,1988,1
754,6/1/2016 00:08:53,6/1/2016 00:21:28,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,476,E 31 St & 3 Ave,40.74394314,-73.97966069,21612,Subscriber,1988,1
199,6/1/2016 00:09:03,6/1/2016 00:12:23,471,Grand St & Havemeyer St,40.71286844,-73.95698119,3077,Stagg St & Union Ave,40.70877084,-73.95095259,15970,Subscriber,1989,1
907,6/1/2016 00:09:19,6/1/2016 00:24:26,368,Carmine St & 6 Ave,40.73038599,-74.00214988,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,15929,Subscriber,,0
761,6/1/2016 00:09:49,6/1/2016 00:22:31,217,Old Fulton St,40.70277159,-73.99383605,322,Clinton St & Tillary St,40.696192,-73.991218,18365,Customer,,0
888,6/1/2016 00:09:53,6/1/2016 00:24:41,3147,E 85 St & 3 Ave,40.77801203,-73.95407149,167,E 39 St & 3 Ave,40.7489006,-73.97604882,22229,Subscriber,1972,1
726,6/1/2016 00:10:05,6/1/2016 00:22:11,217,Old Fulton St,40.70277159,-73.99383605,322,Clinton St & Tillary St,40.696192,-73.991218,19582,Customer,,0
499,6/1/2016 00:10:17,6/1/2016 00:18:37,253,W 13 St & 5 Ave,40.73543934,-73.99453948,127,Barrow St & Hudson St,40.73172428,-74.00674436,16820,Subscriber,1969,1
378,6/1/2016 00:10:22,6/1/2016 00:16:40,247,Perry St & Bleecker St,40.73535398,-74.00483091,225,W 14 St & The High Line,40.74195138,-74.00803013,22491,Subscriber,1973,1
566,6/1/2016 00:10:41,6/1/2016 00:20:07,151,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,18092,Subscriber,1990,2
205,6/1/2016 00:10:45,6/1/2016 00:14:10,116,W 17 St & 8 Ave,40.74177603,-74.00149746,509,9 Ave & W 22 St,40.7454973,-74.00197139,20258,Subscriber,1992,1
545,6/1/2016 00:10:50,6/1/2016 00:19:56,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,528,2 Ave & E 31 St,40.74290902,-73.97706058,20307,Subscriber,1975,1
621,6/1/2016 00:10:53,6/1/2016 00:21:14,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,546,E 30 St & Park Ave S,40.74444921,-73.98303529,22729,Subscriber,1977,1
1101,6/1/2016 00:11:10,6/1/2016 00:29:32,284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,2009,Catherine St & Monroe St,40.71117444,-73.99682619,15055,Subscriber,1973,1
976,6/1/2016 00:11:10,6/1/2016 00:27:27,224,Spruce St & Nassau St,40.71146364,-74.00552427,302,Avenue D & E 3 St,40.72082834,-73.97793172,25203,Subscriber,1976,1
168,6/1/2016 00:11:13,6/1/2016 00:14:02,331,Pike St & Monroe St,40.71173107,-73.99193043,296,Division St & Bowery,40.71413089,-73.9970468,22530,Subscriber,1983,1
767,6/1/2016 00:11:24,6/1/2016 00:24:11,459,W 20 St & 11 Ave,40.746745,-74.007756,476,E 31 St & 3 Ave,40.74394314,-73.97966069,15426,Subscriber,1989,1
297,6/1/2016 00:11:31,6/1/2016 00:16:28,405,Washington St & Gansevoort St,40.739323,-74.008119,127,Barrow St & Hudson St,40.73172428,-74.00674436,25052,Subscriber,1985,1
595,6/1/2016 00:11:51,6/1/2016 00:21:47,479,9 Ave & W 45 St,40.76019252,-73.9912551,448,W 37 St & 10 Ave,40.75660359,-73.9979009,22637,Subscriber,1982,2
325,6/1/2016 00:11:57,6/1/2016 00:17:23,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,480,W 53 St & 10 Ave,40.76669671,-73.99061728,16762,Subscriber,1975,1
867,6/1/2016 00:12:05,6/1/2016 00:26:32,479,9 Ave & W 45 St,40.76019252,-73.9912551,525,W 34 St & 11 Ave,40.75594159,-74.0021163,17279,Customer,,0
866,6/1/2016 00:12:05,6/1/2016 00:26:32,479,9 Ave & W 45 St,40.76019252,-73.9912551,525,W 34 St & 11 Ave,40.75594159,-74.0021163,21109,Customer,,0
1036,6/1/2016 00:12:12,6/1/2016 00:29:29,3092,Berry St & N 8 St,40.7190095,-73.95852515,296,Division St & Bowery,40.71413089,-73.9970468,23516,Subscriber,1984,1
762,6/1/2016 00:12:15,6/1/2016 00:24:58,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,237,E 11 St & 2 Ave,40.73047309,-73.98672378,22350,Subscriber,1993,1
418,6/1/2016 00:12:21,6/1/2016 00:19:19,388,W 26 St & 10 Ave,40.749717753,-74.002950346,495,W 47 St & 10 Ave,40.76269882,-73.99301222,16775,Subscriber,1975,1
1144,6/1/2016 00:12:23,6/1/2016 00:31:28,241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,3073,Division Ave & Hooper St,40.70691254,-73.95441667,23693,Subscriber,1981,1
353,6/1/2016 00:12:28,6/1/2016 00:18:21,293,Lafayette St & E 8 St,40.73028666,-73.9907647,445,E 10 St & Avenue A,40.72740794,-73.98142006,15640,Subscriber,1956,1
273,6/1/2016 00:12:28,6/1/2016 00:17:01,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,3224,W 13 St & Hudson St,40.73997354103409,-74.00513872504234,21356,Subscriber,1982,1
935,6/1/2016 00:12:25,6/1/2016 00:28:00,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,479,9 Ave & W 45 St,40.76019252,-73.9912551,18695,Subscriber,1991,1
5320,6/1/2016 00:13:00,6/1/2016 01:41:41,487,E 20 St & FDR Drive,40.73314259,-73.97573881,394,E 9 St & Avenue C,40.72521311,-73.97768752,20000,Customer,,0
89,6/1/2016 00:13:07,6/1/2016 00:14:36,459,W 20 St & 11 Ave,40.746745,-74.007756,459,W 20 St & 11 Ave,40.746745,-74.007756,20783,Customer,,0
560,6/1/2016 00:13:07,6/1/2016 00:22:27,503,E 20 St & Park Ave,40.73827428,-73.98751968,368,Carmine St & 6 Ave,40.73038599,-74.00214988,16543,Subscriber,1981,1
5299,6/1/2016 00:13:10,6/1/2016 01:41:30,487,E 20 St & FDR Drive,40.73314259,-73.97573881,394,E 9 St & Avenue C,40.72521311,-73.97768752,20228,Customer,,0
409,6/1/2016 00:13:13,6/1/2016 00:20:02,487,E 20 St & FDR Drive,40.73314259,-73.97573881,527,E 33 St & 2 Ave,40.744023,-73.976056,14632,Subscriber,1986,1
1391,6/1/2016 00:13:29,6/1/2016 00:36:40,238,Bank St & Washington St,40.7361967,-74.00859207,519,Pershing Square North,40.751873,-73.977706,14943,Subscriber,1969,1
617,6/1/2016 00:13:47,6/1/2016 00:24:04,503,E 20 St & Park Ave,40.73827428,-73.98751968,470,W 20 St & 8 Ave,40.74345335,-74.00004031,17683,Subscriber,1968,2
1486,6/1/2016 00:13:56,6/1/2016 00:38:43,513,W 56 St & 10 Ave,40.768254,-73.988639,545,E 23 St & 1 Ave,40.736502,-73.97809472,24932,Subscriber,1975,1
284,6/1/2016 00:13:56,6/1/2016 00:18:40,223,W 13 St & 7 Ave,40.73781509,-73.99994661,127,Barrow St & Hudson St,40.73172428,-74.00674436,17297,Subscriber,1989,2
